#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 03 21 47 999 99.0 99.0  1.74  5.88  4.90 106 9999.0 999.0  13.6 999.0 99.0 99.00
2015 01 03 22 17 999 99.0 99.0  1.85  6.25  4.95 116 9999.0 999.0  13.6 999.0 99.0 99.00
2015 01 03 22 47 999 99.0 99.0  1.93  6.67  5.10 118 9999.0 999.0  13.6 999.0 99.0 99.00
2015 01 03 23 17 999 99.0 99.0  2.01  6.67  5.20 123 9999.0 999.0  13.7 999.0 99.0 99.00
2015 01 03 23 47 999 99.0 99.0  2.02  6.67  5.34 135 9999.0 999.0  13.7 999.0 99.0 99.00
2015 01 04 00 17 999 99.0 99.0  2.22  7.14  5.71 138 9999.0 999.0  13.5 999.0 99.0 99.00
2015 01 04 00 47 999 99.0 99.0  2.23  7.69  5.81 132 9999.0 999.0  13.4 999.0 99.0 99.00
2015 01 04 01 17 999 99.0 99.0  2.25  7.69  5.99 134 9999.0 999.0  13.0 999.0 99.0 99.00
2015 01 04 01 47 999 99.0 99.0  2.12  6.67  5.94 141 9999.0 999.0  12.8 999.0 99.0 99.00
2015 01 04 02 17 999 99.0 99.0  2.04  7.14  5.98 139 9999.0 999.0  12.7 999.0 99.0 99.00
2015 01 04 02 47 999 99.0 99.0  1.90  7.14  5.79 139 9999.0 999.0  12.3 999.0 99.0 99.00
2015 01 04 03 17 999 99.0 99.0  1.96  7.14  5.92 142 9999.0 999.0  12.2 999.0 99.0 99.00
2015 01 04 03 47 999 99.0 99.0  1.83  7.69  6.09 132 9999.0 999.0  11.8 999.0 99.0 99.00
2015 01 04 04 17 999 99.0 99.0  1.83  8.33  6.01 127 9999.0 999.0  11.8 999.0 99.0 99.00
2015 01 04 04 47 999 99.0 99.0  1.84  8.33  6.08 123 9999.0 999.0  11.8 999.0 99.0 99.00
2015 01 04 05 17 999 99.0 99.0  2.00  7.69  6.27 145 9999.0 999.0  11.8 999.0 99.0 99.00
2015 01 04 05 47 999 99.0 99.0  2.29  7.69  6.31 142 9999.0 999.0  11.8 999.0 99.0 99.00
2015 01 04 06 17 999 99.0 99.0  2.41  7.69  6.32 148 9999.0 999.0  11.8 999.0 99.0 99.00
2015 01 04 06 47 999 99.0 99.0  2.41  7.14  6.18 155 9999.0 999.0  11.8 999.0 99.0 99.00
2015 01 04 07 17 999 99.0 99.0  2.36  7.69  6.30 147 9999.0 999.0  11.7 999.0 99.0 99.00
2015 01 04 07 47 999 99.0 99.0  2.12  7.69  6.18 148 9999.0 999.0  11.8 999.0 99.0 99.00
2015 01 04 08 17 999 99.0 99.0  2.00  7.69  6.00 149 9999.0 999.0  11.6 999.0 99.0 99.00
2015 01 04 08 47 999 99.0 99.0  2.18  7.14  6.14 149 9999.0 999.0  11.5 999.0 99.0 99.00
2015 01 04 09 17 999 99.0 99.0  2.16  7.14  6.06 155 9999.0 999.0  11.6 999.0 99.0 99.00
2015 01 04 09 47 999 99.0 99.0  2.05  7.14  5.82 155 9999.0 999.0  11.6 999.0 99.0 99.00
2015 01 04 10 17 999 99.0 99.0  1.96  7.14  5.79 155 9999.0 999.0  11.5 999.0 99.0 99.00
2015 01 04 10 47 999 99.0 99.0  2.08  7.69  5.88 148 9999.0 999.0  11.5 999.0 99.0 99.00
2015 01 04 11 17 999 99.0 99.0  2.07  7.14  5.89 152 9999.0 999.0  11.5 999.0 99.0 99.00
2015 01 04 11 47 999 99.0 99.0  2.00  7.69  5.88 151 9999.0 999.0  11.5 999.0 99.0 99.00
2015 01 04 12 17 999 99.0 99.0  1.99  7.69  5.74 149 9999.0 999.0  11.4 999.0 99.0 99.00
2015 01 04 12 47 999 99.0 99.0  2.03  7.14  5.80 148 9999.0 999.0  11.3 999.0 99.0 99.00
