Distance (m),Depth (m)
1.620000000000000000e+02,7.461669299402253763e-01
1.630000000000000000e+02,7.539830687782738128e-01
1.640000000000000000e+02,7.618330841558911271e-01
1.650000000000000000e+02,7.697168752428761307e-01
1.660000000000000000e+02,7.776343412090260809e-01
1.670000000000000000e+02,7.855853812241392342e-01
1.680000000000000000e+02,7.935698944580138470e-01
1.690000000000000000e+02,8.015877800804477316e-01
1.700000000000000000e+02,8.096389372612390334e-01
1.710000000000000000e+02,8.177232651701857868e-01
1.720000000000000000e+02,8.258406629770859153e-01
1.730000000000000000e+02,8.339910298517374532e-01
1.740000000000000000e+02,8.421742649639387679e-01
1.750000000000000000e+02,8.503902674834874498e-01
1.760000000000000000e+02,8.586389365801817553e-01
1.770000000000000000e+02,8.669201714238196077e-01
1.780000000000000000e+02,8.752338711841991525e-01
1.790000000000000000e+02,8.835799350311184241e-01
1.800000000000000000e+02,8.919582621343754569e-01
1.810000000000000000e+02,9.003687516637681743e-01
1.820000000000000000e+02,9.088113027890946105e-01
1.830000000000000000e+02,9.172858146801530221e-01
1.840000000000000000e+02,9.257921865067413325e-01
1.850000000000000000e+02,9.343303174386573540e-01
1.860000000000000000e+02,9.429001066456992319e-01
1.870000000000000000e+02,9.515014532976651118e-01
1.880000000000000000e+02,9.601342565643532501e-01
1.890000000000000000e+02,9.687984156155611259e-01
1.900000000000000000e+02,9.774938296210871069e-01
1.910000000000000000e+02,9.862203977507293384e-01
1.920000000000000000e+02,9.949780191742855218e-01
1.930000000000000000e+02,1.003766593061554024e+00
1.940000000000000000e+02,1.012586018582332548e+00
1.950000000000000000e+02,1.021436194906419459e+00
1.960000000000000000e+02,1.030317021203612571e+00
1.970000000000000000e+02,1.039228396643710139e+00
1.980000000000000000e+02,1.048170220396509755e+00
1.990000000000000000e+02,1.057142391631809675e+00
2.000000000000000000e+02,1.066144809519408376e+00
2.010000000000000000e+02,1.075177373229103450e+00
2.020000000000000000e+02,1.084239981930692709e+00
2.030000000000000000e+02,1.093332534793974853e+00
2.040000000000000000e+02,1.102454930988747250e+00
2.050000000000000000e+02,1.111607069684808158e+00
2.060000000000000000e+02,1.120788850051955832e+00
2.070000000000000000e+02,1.130000171259987862e+00
2.080000000000000000e+02,1.139240932478702950e+00
2.090000000000000000e+02,1.148511032877898685e+00
2.100000000000000000e+02,1.157810371627372881e+00
2.110000000000000000e+02,1.167138847896924236e+00
2.120000000000000000e+02,1.176496360856350343e+00
2.130000000000000000e+02,1.185882809675449012e+00
2.140000000000000000e+02,1.195298093524018723e+00
2.150000000000000000e+02,1.204742111571857288e+00
