Distance (m),Depth (m)
2.932000000000000000e+03,1.161517002882004945e+01
2.933000000000000000e+03,1.161763250623454979e+01
2.934000000000000000e+03,1.162009086302186667e+01
2.935000000000000000e+03,1.162254506716532809e+01
2.936000000000000000e+03,1.162499508664825676e+01
2.937000000000000000e+03,1.162744088945397891e+01
2.938000000000000000e+03,1.162988244356581724e+01
2.939000000000000000e+03,1.163231971696709977e+01
2.940000000000000000e+03,1.163475267764114562e+01
2.941000000000000000e+03,1.163718129357128284e+01
2.942000000000000000e+03,1.163960553274083587e+01
2.943000000000000000e+03,1.164202536313313097e+01
2.944000000000000000e+03,1.164444075273148904e+01
2.945000000000000000e+03,1.164685166951923811e+01
2.946000000000000000e+03,1.164925808147969910e+01
2.947000000000000000e+03,1.165165995659620002e+01
2.948000000000000000e+03,1.165405726285206534e+01
2.949000000000000000e+03,1.165644996823061597e+01
2.950000000000000000e+03,1.165883804071518171e+01
2.951000000000000000e+03,1.166122144828908169e+01
2.952000000000000000e+03,1.166360015893564395e+01
2.953000000000000000e+03,1.166597414063819471e+01
2.954000000000000000e+03,1.166834336138005490e+01
2.955000000000000000e+03,1.167070778914454898e+01
2.956000000000000000e+03,1.167306739191500320e+01
2.957000000000000000e+03,1.167542213767474379e+01
2.958000000000000000e+03,1.167777199440709524e+01
2.959000000000000000e+03,1.168011693009537844e+01
2.960000000000000000e+03,1.168245691272291964e+01
2.961000000000000000e+03,1.168479191027304687e+01
2.962000000000000000e+03,1.168712189072907748e+01
2.963000000000000000e+03,1.168944682207434305e+01
2.964000000000000000e+03,1.169176667229216626e+01
2.965000000000000000e+03,1.169408140936586982e+01
2.966000000000000000e+03,1.169639100127877818e+01
2.967000000000000000e+03,1.169869541601421936e+01
2.968000000000000000e+03,1.170099462155551606e+01
2.969000000000000000e+03,1.170328858588599097e+01
2.970000000000000000e+03,1.170557727698897210e+01
2.971000000000000000e+03,1.170786066284777860e+01
2.972000000000000000e+03,1.171013871144574381e+01
2.973000000000000000e+03,1.171241139076618687e+01
2.974000000000000000e+03,1.171467866879243047e+01
2.975000000000000000e+03,1.171694051350780086e+01
2.976000000000000000e+03,1.171919689289562783e+01
2.977000000000000000e+03,1.172144777493922874e+01
2.978000000000000000e+03,1.172369312762193161e+01
2.979000000000000000e+03,1.172593291892706091e+01
2.980000000000000000e+03,1.172816711683793933e+01
2.981000000000000000e+03,1.173039568933789312e+01
2.982000000000000000e+03,1.173261860441024851e+01
2.983000000000000000e+03,1.173483583003832642e+01
2.984000000000000000e+03,1.173704733420545487e+01
2.985000000000000000e+03,1.173925308489495656e+01
2.986000000000000000e+03,1.174145305009015594e+01
2.987000000000000000e+03,1.174364719777438104e+01
2.988000000000000000e+03,1.174583549593094922e+01
2.989000000000000000e+03,1.174801791254319028e+01
2.990000000000000000e+03,1.175019441559443045e+01
2.991000000000000000e+03,1.175236497306799066e+01
2.992000000000000000e+03,1.175452955294719715e+01
2.993000000000000000e+03,1.175668812321537260e+01
2.994000000000000000e+03,1.175884065185584504e+01
2.995000000000000000e+03,1.176098710685193538e+01
2.996000000000000000e+03,1.176312745618697164e+01
2.997000000000000000e+03,1.176526166784427829e+01
2.998000000000000000e+03,1.176738970980717625e+01
2.999000000000000000e+03,1.176951155005899174e+01
3.000000000000000000e+03,1.177162715658305103e+01
3.001000000000000000e+03,1.177373649736267858e+01
3.002000000000000000e+03,1.177583954038119707e+01
3.003000000000000000e+03,1.177793625362192920e+01
3.004000000000000000e+03,1.178002660506820476e+01
3.005000000000000000e+03,1.178211056270334822e+01
3.006000000000000000e+03,1.178418809451068050e+01
3.007000000000000000e+03,1.178625916847352784e+01
3.008000000000000000e+03,1.178832375257521470e+01
3.009000000000000000e+03,1.179038181479906733e+01
3.010000000000000000e+03,1.179243332312840664e+01
3.011000000000000000e+03,1.179447824554655888e+01
3.012000000000000000e+03,1.179651655003685207e+01
3.013000000000000000e+03,1.179854820458260534e+01
3.014000000000000000e+03,1.180057317716714671e+01
3.015000000000000000e+03,1.180259143577379888e+01
3.016000000000000000e+03,1.180460294838588986e+01
3.017000000000000000e+03,1.180660768298674057e+01
3.018000000000000000e+03,1.180860560755967548e+01
3.019000000000000000e+03,1.181059669008802260e+01
3.020000000000000000e+03,1.181258089855510462e+01
3.021000000000000000e+03,1.181455820094424425e+01
3.022000000000000000e+03,1.181652856523876949e+01
3.023000000000000000e+03,1.181849195942200303e+01
3.024000000000000000e+03,1.182044835147726936e+01
3.025000000000000000e+03,1.182239770938789469e+01
3.026000000000000000e+03,1.182434000113720174e+01
3.027000000000000000e+03,1.182627519470851674e+01
3.028000000000000000e+03,1.182820325808516237e+01
3.029000000000000000e+03,1.183012415925046312e+01
3.030000000000000000e+03,1.183203786618775055e+01
3.031000000000000000e+03,1.183394434688033847e+01
3.032000000000000000e+03,1.183584356931155668e+01
3.033000000000000000e+03,1.183773550146472964e+01
3.034000000000000000e+03,1.183962011132318359e+01
3.035000000000000000e+03,1.184149736687024124e+01
3.036000000000000000e+03,1.184336723608922526e+01
3.037000000000000000e+03,1.184522968696346368e+01
3.038000000000000000e+03,1.184708468747628096e+01
3.039000000000000000e+03,1.184893220561100158e+01
3.040000000000000000e+03,1.185077220935094644e+01
3.041000000000000000e+03,1.185260466667944534e+01
3.042000000000000000e+03,1.185442954557981921e+01
3.043000000000000000e+03,1.185624681403539249e+01
3.044000000000000000e+03,1.185805644002949144e+01
3.045000000000000000e+03,1.185985839154544408e+01
3.046000000000000000e+03,1.186165263656656776e+01
3.047000000000000000e+03,1.186343914307619052e+01
3.048000000000000000e+03,1.186521787905764036e+01
3.049000000000000000e+03,1.186698881249423465e+01
3.050000000000000000e+03,1.186875191136930496e+01
3.051000000000000000e+03,1.187050714366617221e+01
3.052000000000000000e+03,1.187225447736816086e+01
3.053000000000000000e+03,1.187399388045859716e+01
3.054000000000000000e+03,1.187572532092080557e+01
3.055000000000000000e+03,1.187744876673810701e+01
3.056000000000000000e+03,1.187916418589383305e+01
3.057000000000000000e+03,1.188087154637130105e+01
3.058000000000000000e+03,1.188257081615384259e+01
3.059000000000000000e+03,1.188426196322477502e+01
3.060000000000000000e+03,1.188594495556742814e+01
3.061000000000000000e+03,1.188761976116512464e+01
3.062000000000000000e+03,1.188928634800119077e+01
3.063000000000000000e+03,1.189094468405894922e+01
3.064000000000000000e+03,1.189259473732172445e+01
3.065000000000000000e+03,1.189423647577284271e+01
3.066000000000000000e+03,1.189586986739562491e+01
3.067000000000000000e+03,1.189749488017340262e+01
3.068000000000000000e+03,1.189911148208949321e+01
3.069000000000000000e+03,1.190071964112722647e+01
3.070000000000000000e+03,1.190231932526992509e+01
3.071000000000000000e+03,1.190391050250091176e+01
3.072000000000000000e+03,1.190549314080351273e+01
3.073000000000000000e+03,1.190706720816105246e+01
3.074000000000000000e+03,1.190863267255685898e+01
3.075000000000000000e+03,1.191018950197425141e+01
3.076000000000000000e+03,1.191173766439655424e+01
3.077000000000000000e+03,1.191327712780709724e+01
3.078000000000000000e+03,1.191480786018920313e+01
3.079000000000000000e+03,1.191632982952619280e+01
3.080000000000000000e+03,1.191784300380139605e+01
3.081000000000000000e+03,1.191934735099813558e+01
3.082000000000000000e+03,1.192084283909973585e+01
3.083000000000000000e+03,1.192232943608951778e+01
3.084000000000000000e+03,1.192380710995081117e+01
3.085000000000000000e+03,1.192527582866694047e+01
3.086000000000000000e+03,1.192673556022122661e+01
3.087000000000000000e+03,1.192818627259699582e+01
3.088000000000000000e+03,1.192962793377757436e+01
3.089000000000000000e+03,1.193106051174628668e+01
3.090000000000000000e+03,1.193248397448645370e+01
3.091000000000000000e+03,1.193389828998140345e+01
3.092000000000000000e+03,1.193530342621446216e+01
3.093000000000000000e+03,1.193669935116894898e+01
3.094000000000000000e+03,1.193808603282819192e+01
3.095000000000000000e+03,1.193946343917551545e+01
3.096000000000000000e+03,1.194083153819424581e+01
3.097000000000000000e+03,1.194219029786770392e+01
3.098000000000000000e+03,1.194353968617921424e+01
3.099000000000000000e+03,1.194487967111210835e+01
3.100000000000000000e+03,1.194621022064970184e+01
3.101000000000000000e+03,1.194753130277532449e+01
3.102000000000000000e+03,1.194884288547229723e+01
3.103000000000000000e+03,1.195014493672395162e+01
3.104000000000000000e+03,1.195143742451360502e+01
3.105000000000000000e+03,1.195272031682458547e+01
3.106000000000000000e+03,1.195399358164021741e+01
3.107000000000000000e+03,1.195525718694382356e+01
3.108000000000000000e+03,1.195651110071873191e+01
3.109000000000000000e+03,1.195775529094826162e+01
3.110000000000000000e+03,1.195898972561574425e+01
3.111000000000000000e+03,1.196021437270449894e+01
3.112000000000000000e+03,1.196142920019785372e+01
3.113000000000000000e+03,1.196263417607913127e+01
3.114000000000000000e+03,1.196382926833165605e+01
3.115000000000000000e+03,1.196501444493875432e+01
3.116000000000000000e+03,1.196618967388374877e+01
3.117000000000000000e+03,1.196735492314996385e+01
3.118000000000000000e+03,1.196851016072072937e+01
3.119000000000000000e+03,1.196965535457936092e+01
3.120000000000000000e+03,1.197079047270919006e+01
3.121000000000000000e+03,1.197191548309353948e+01
3.122000000000000000e+03,1.197303035371573188e+01
3.123000000000000000e+03,1.197413505255909527e+01
3.124000000000000000e+03,1.197522954760695235e+01
3.125000000000000000e+03,1.197631380684262759e+01
3.126000000000000000e+03,1.197738779824944544e+01
3.127000000000000000e+03,1.197845148981073216e+01
3.128000000000000000e+03,1.197950484950981220e+01
3.129000000000000000e+03,1.198054784533000650e+01
3.130000000000000000e+03,1.198158044525464305e+01
3.131000000000000000e+03,1.198260261726704634e+01
3.132000000000000000e+03,1.198361432935053905e+01
3.133000000000000000e+03,1.198461554948844920e+01
3.134000000000000000e+03,1.198560624566409949e+01
3.135000000000000000e+03,1.198658638586081260e+01
3.136000000000000000e+03,1.198755593806191655e+01
3.137000000000000000e+03,1.198851487025073226e+01
3.138000000000000000e+03,1.198946315041058774e+01
3.139000000000000000e+03,1.199040074652480570e+01
3.140000000000000000e+03,1.199132762657671236e+01
3.141000000000000000e+03,1.199224375854962865e+01
3.142000000000000000e+03,1.199314911042688436e+01
3.143000000000000000e+03,1.199404365019180219e+01
3.144000000000000000e+03,1.199492734582770304e+01
3.145000000000000000e+03,1.199580016531791671e+01
3.146000000000000000e+03,1.199666207664576234e+01
3.147000000000000000e+03,1.199751304779457151e+01
3.148000000000000000e+03,1.199835304674766334e+01
3.149000000000000000e+03,1.199918204148836409e+01
3.150000000000000000e+03,1.200000000000000000e+01
3.151000000000000000e+03,1.200080690388805849e+01
3.152000000000000000e+03,1.200160278924668766e+01
3.153000000000000000e+03,1.200238770579220215e+01
3.154000000000000000e+03,1.200316170324091303e+01
3.155000000000000000e+03,1.200392483130913313e+01
3.156000000000000000e+03,1.200467713971318062e+01
3.157000000000000000e+03,1.200541867816936303e+01
3.158000000000000000e+03,1.200614949639399676e+01
3.159000000000000000e+03,1.200686964410339108e+01
3.160000000000000000e+03,1.200757917101386241e+01
3.161000000000000000e+03,1.200827812684172535e+01
3.162000000000000000e+03,1.200896656130328743e+01
3.163000000000000000e+03,1.200964452411486683e+01
3.164000000000000000e+03,1.201031206499277282e+01
3.165000000000000000e+03,1.201096923365332358e+01
3.166000000000000000e+03,1.201161607981282664e+01
3.167000000000000000e+03,1.201225265318759661e+01
3.168000000000000000e+03,1.201287900349394988e+01
3.169000000000000000e+03,1.201349518044819575e+01
3.170000000000000000e+03,1.201410123376665062e+01
3.171000000000000000e+03,1.201469721316562200e+01
3.172000000000000000e+03,1.201528316836143162e+01
3.173000000000000000e+03,1.201585914907038344e+01
3.174000000000000000e+03,1.201642520500879741e+01
3.175000000000000000e+03,1.201698138589298281e+01
3.176000000000000000e+03,1.201752774143925073e+01
3.177000000000000000e+03,1.201806432136392289e+01
3.178000000000000000e+03,1.201859117538330324e+01
3.179000000000000000e+03,1.201910835321371174e+01
3.180000000000000000e+03,1.201961590457145412e+01
3.181000000000000000e+03,1.202011387917285212e+01
3.182000000000000000e+03,1.202060232673421147e+01
3.183000000000000000e+03,1.202108129697185035e+01
3.184000000000000000e+03,1.202155083960207627e+01
3.185000000000000000e+03,1.202201100434120917e+01
3.186000000000000000e+03,1.202246184090555836e+01
3.187000000000000000e+03,1.202290339901143490e+01
3.188000000000000000e+03,1.202333572837515696e+01
3.189000000000000000e+03,1.202375887871303384e+01
3.190000000000000000e+03,1.202417289974138015e+01
3.191000000000000000e+03,1.202457784117650696e+01
3.192000000000000000e+03,1.202497375273473068e+01
3.193000000000000000e+03,1.202536068413236059e+01
3.194000000000000000e+03,1.202573868508571309e+01
3.195000000000000000e+03,1.202610780531110279e+01
3.196000000000000000e+03,1.202646809452483545e+01
3.197000000000000000e+03,1.202681960244323278e+01
3.198000000000000000e+03,1.202716237878260230e+01
3.199000000000000000e+03,1.202749647325925864e+01
3.200000000000000000e+03,1.202782193558951462e+01
3.201000000000000000e+03,1.202813881548968311e+01
3.202000000000000000e+03,1.202844716267608050e+01
3.203000000000000000e+03,1.202874702686501429e+01
3.204000000000000000e+03,1.202903845777280267e+01
3.205000000000000000e+03,1.202932150511575493e+01
3.206000000000000000e+03,1.202959621861018924e+01
3.207000000000000000e+03,1.202986264797240956e+01
3.208000000000000000e+03,1.203012084291873940e+01
3.209000000000000000e+03,1.203037085316548271e+01
3.210000000000000000e+03,1.203061272842895946e+01
3.211000000000000000e+03,1.203084651842548247e+01
3.212000000000000000e+03,1.203107227287135927e+01
3.213000000000000000e+03,1.203129004148290981e+01
3.214000000000000000e+03,1.203149987397643983e+01
3.215000000000000000e+03,1.203170182006826927e+01
3.216000000000000000e+03,1.203189592947470565e+01
3.217000000000000000e+03,1.203208225191206715e+01
3.218000000000000000e+03,1.203226083709666128e+01
3.219000000000000000e+03,1.203243173474480621e+01
3.220000000000000000e+03,1.203259499457281301e+01
3.221000000000000000e+03,1.203275066629699452e+01
3.222000000000000000e+03,1.203289879963366715e+01
3.223000000000000000e+03,1.203303944429913663e+01
3.224000000000000000e+03,1.203317265000972291e+01
3.225000000000000000e+03,1.203329846648173529e+01
3.226000000000000000e+03,1.203341694343148838e+01
3.227000000000000000e+03,1.203352813057529502e+01
3.228000000000000000e+03,1.203363207762946807e+01
3.229000000000000000e+03,1.203372883431032392e+01
3.230000000000000000e+03,1.203381845033417008e+01
3.231000000000000000e+03,1.203390097541732295e+01
3.232000000000000000e+03,1.203397645927609361e+01
3.233000000000000000e+03,1.203404495162679844e+01
3.234000000000000000e+03,1.203410650218574673e+01
3.235000000000000000e+03,1.203416116066925312e+01
3.236000000000000000e+03,1.203420897679363399e+01
3.237000000000000000e+03,1.203425000027519687e+01
3.238000000000000000e+03,1.203428428083025992e+01
3.239000000000000000e+03,1.203431186817513066e+01
3.240000000000000000e+03,1.203433281202612548e+01
3.241000000000000000e+03,1.203434716209955901e+01
3.242000000000000000e+03,1.203435496811174232e+01
3.243000000000000000e+03,1.203435627977898825e+01
3.244000000000000000e+03,1.203435114681760965e+01
3.245000000000000000e+03,1.203433961894392112e+01
3.246000000000000000e+03,1.203432174587423553e+01
3.247000000000000000e+03,1.203429757732486571e+01
3.248000000000000000e+03,1.203426716301212451e+01
3.249000000000000000e+03,1.203423055265232477e+01
3.250000000000000000e+03,1.203418779596177934e+01
3.251000000000000000e+03,1.203413894265680284e+01
3.252000000000000000e+03,1.203408404245370455e+01
3.253000000000000000e+03,1.203402314506880266e+01
3.254000000000000000e+03,1.203395630021841001e+01
3.255000000000000000e+03,1.203388355761883410e+01
3.256000000000000000e+03,1.203380496698639490e+01
3.257000000000000000e+03,1.203372057803739814e+01
3.258000000000000000e+03,1.203363044048816555e+01
3.259000000000000000e+03,1.203353460405500286e+01
3.260000000000000000e+03,1.203343311845422470e+01
3.261000000000000000e+03,1.203332603340214924e+01
3.262000000000000000e+03,1.203321339861508221e+01
3.263000000000000000e+03,1.203309526380934180e+01
3.264000000000000000e+03,1.203297167870123907e+01
3.265000000000000000e+03,1.203284269300709042e+01
3.266000000000000000e+03,1.203270835644320158e+01
3.267000000000000000e+03,1.203256871872589429e+01
3.268000000000000000e+03,1.203242382957147605e+01
3.269000000000000000e+03,1.203227373869625971e+01
3.270000000000000000e+03,1.203211849581656345e+01
3.271000000000000000e+03,1.203195815064869478e+01
3.272000000000000000e+03,1.203179275290896832e+01
3.273000000000000000e+03,1.203162235231370047e+01
3.274000000000000000e+03,1.203144699857920052e+01
3.275000000000000000e+03,1.203126674142178310e+01
3.276000000000000000e+03,1.203108163055776103e+01
3.277000000000000000e+03,1.203089171570344540e+01
3.278000000000000000e+03,1.203069704657515260e+01
3.279000000000000000e+03,1.203049767288919725e+01
3.280000000000000000e+03,1.203029364436188509e+01
3.281000000000000000e+03,1.203008501070953784e+01
3.282000000000000000e+03,1.202987182164846125e+01
3.283000000000000000e+03,1.202965412689497526e+01
3.284000000000000000e+03,1.202943197616538562e+01
3.285000000000000000e+03,1.202920541917601049e+01
3.286000000000000000e+03,1.202897450564316273e+01
3.287000000000000000e+03,1.202873928528315162e+01
3.288000000000000000e+03,1.202849980781229711e+01
3.289000000000000000e+03,1.202825612294690494e+01
3.290000000000000000e+03,1.202800828040329328e+01
3.291000000000000000e+03,1.202775632989777321e+01
3.292000000000000000e+03,1.202750032114665757e+01
3.293000000000000000e+03,1.202724030386625920e+01
3.294000000000000000e+03,1.202697632777289094e+01
3.295000000000000000e+03,1.202670844258287097e+01
3.296000000000000000e+03,1.202643669801250503e+01
3.297000000000000000e+03,1.202616114377811130e+01
3.298000000000000000e+03,1.202588182959599905e+01
3.299000000000000000e+03,1.202559880518248647e+01
3.300000000000000000e+03,1.202531212025388108e+01
3.301000000000000000e+03,1.202502182452649926e+01
3.302000000000000000e+03,1.202472796771665209e+01
3.303000000000000000e+03,1.202443059954065419e+01
3.304000000000000000e+03,1.202412976971482017e+01
3.305000000000000000e+03,1.202382552795545934e+01
3.306000000000000000e+03,1.202351792397888808e+01
3.307000000000000000e+03,1.202320700750141746e+01
3.308000000000000000e+03,1.202289282823936212e+01
3.309000000000000000e+03,1.202257543590903310e+01
3.310000000000000000e+03,1.202225488022674327e+01
3.311000000000000000e+03,1.202193121090881256e+01
3.312000000000000000e+03,1.202160447767154317e+01
3.313000000000000000e+03,1.202127473023125859e+01
3.314000000000000000e+03,1.202094201830426101e+01
3.315000000000000000e+03,1.202060639160687394e+01
3.316000000000000000e+03,1.202026789985540489e+01
3.317000000000000000e+03,1.201992659276616848e+01
3.318000000000000000e+03,1.201958252005547756e+01
3.319000000000000000e+03,1.201923573143964319e+01
3.320000000000000000e+03,1.201888627663498355e+01
3.321000000000000000e+03,1.201853420535780792e+01
3.322000000000000000e+03,1.201817956732442738e+01
3.323000000000000000e+03,1.201782241225116010e+01
3.324000000000000000e+03,1.201746278985431893e+01
3.325000000000000000e+03,1.201710074985021137e+01
3.326000000000000000e+03,1.201673634195515561e+01
3.327000000000000000e+03,1.201636961588546093e+01
3.328000000000000000e+03,1.201600062135744373e+01
3.329000000000000000e+03,1.201562940808741686e+01
3.330000000000000000e+03,1.201525602579169139e+01
3.331000000000000000e+03,1.201488052418658370e+01
3.332000000000000000e+03,1.201450295298840132e+01
3.333000000000000000e+03,1.201412336191346597e+01
3.334000000000000000e+03,1.201374180067808162e+01
3.335000000000000000e+03,1.201335831899856643e+01
3.336000000000000000e+03,1.201297296659123148e+01
3.337000000000000000e+03,1.201258579317239139e+01
3.338000000000000000e+03,1.201219684845836078e+01
3.339000000000000000e+03,1.201180618216544538e+01
3.340000000000000000e+03,1.201141384400996870e+01
3.341000000000000000e+03,1.201101988370823470e+01
3.342000000000000000e+03,1.201062435097656511e+01
3.343000000000000000e+03,1.201022729553126389e+01
3.344000000000000000e+03,1.200982876708864922e+01
3.345000000000000000e+03,1.200942881536503570e+01
3.346000000000000000e+03,1.200902749007673442e+01
3.347000000000000000e+03,1.200862484094005644e+01
3.348000000000000000e+03,1.200822091767131816e+01
3.349000000000000000e+03,1.200781576998683065e+01
3.350000000000000000e+03,1.200740944760290674e+01
3.351000000000000000e+03,1.200700200023586284e+01
3.352000000000000000e+03,1.200659347760200646e+01
3.353000000000000000e+03,1.200618392941765578e+01
3.354000000000000000e+03,1.200577340539912363e+01
3.355000000000000000e+03,1.200536195526271932e+01
3.356000000000000000e+03,1.200494962872475924e+01
3.357000000000000000e+03,1.200453647550155445e+01
3.358000000000000000e+03,1.200412254530941958e+01
3.359000000000000000e+03,1.200370788786466569e+01
3.360000000000000000e+03,1.200329255288360919e+01
3.361000000000000000e+03,1.200287659008255936e+01
3.362000000000000000e+03,1.200246004917783083e+01
3.363000000000000000e+03,1.200204297988573998e+01
3.364000000000000000e+03,1.200162543192259434e+01
3.365000000000000000e+03,1.200120745500471031e+01
3.366000000000000000e+03,1.200078909884840073e+01
3.367000000000000000e+03,1.200037041316998021e+01
3.368000000000000000e+03,1.199995144768575628e+01
3.369000000000000000e+03,1.199953225211204888e+01
3.370000000000000000e+03,1.199911287616516553e+01
3.371000000000000000e+03,1.199869336956142263e+01
3.372000000000000000e+03,1.199827378201713124e+01
3.373000000000000000e+03,1.199785416324860776e+01
3.374000000000000000e+03,1.199743456297216326e+01
3.375000000000000000e+03,1.199701503090410704e+01
3.376000000000000000e+03,1.199659561676075903e+01
3.377000000000000000e+03,1.199617637025842853e+01
3.378000000000000000e+03,1.199575734111342840e+01
3.379000000000000000e+03,1.199533857904207501e+01
3.380000000000000000e+03,1.199492013376067590e+01
3.381000000000000000e+03,1.199450205498555100e+01
3.382000000000000000e+03,1.199408439243300428e+01
3.383000000000000000e+03,1.199366719581935925e+01
3.384000000000000000e+03,1.199325051486092164e+01
3.385000000000000000e+03,1.199283439927400785e+01
3.386000000000000000e+03,1.199241889877492895e+01
3.387000000000000000e+03,1.199200406307999955e+01
3.388000000000000000e+03,1.199158994190553429e+01
3.389000000000000000e+03,1.199117658496784067e+01
3.390000000000000000e+03,1.199076404198323864e+01
3.391000000000000000e+03,1.199035236266803572e+01
3.392000000000000000e+03,1.198994159673855009e+01
3.393000000000000000e+03,1.198953179391108925e+01
3.394000000000000000e+03,1.198912300390197139e+01
3.395000000000000000e+03,1.198871527642750756e+01
3.396000000000000000e+03,1.198830866120400707e+01
3.397000000000000000e+03,1.198790320794778985e+01
3.398000000000000000e+03,1.198749896637516521e+01
3.399000000000000000e+03,1.198709598620244776e+01
3.400000000000000000e+03,1.198669431714594680e+01
3.401000000000000000e+03,1.198629400892198227e+01
3.402000000000000000e+03,1.198589511124685991e+01
3.403000000000000000e+03,1.198549767383689613e+01
3.404000000000000000e+03,1.198510174640840731e+01
3.405000000000000000e+03,1.198470737867770097e+01
3.406000000000000000e+03,1.198431462036109174e+01
3.407000000000000000e+03,1.198392352117489601e+01
3.408000000000000000e+03,1.198353413083542307e+01
3.409000000000000000e+03,1.198314649905898754e+01
3.410000000000000000e+03,1.198276067556190227e+01
3.411000000000000000e+03,1.198237671006048011e+01
3.412000000000000000e+03,1.198199465227103211e+01
3.413000000000000000e+03,1.198161455190987823e+01
3.414000000000000000e+03,1.198123645869332421e+01
3.415000000000000000e+03,1.198086042233768644e+01
3.416000000000000000e+03,1.198048649255927778e+01
3.417000000000000000e+03,1.198011471907441283e+01
3.418000000000000000e+03,1.197974515159940090e+01
3.419000000000000000e+03,1.197937783985055837e+01
3.420000000000000000e+03,1.197901283354419455e+01
3.421000000000000000e+03,1.197865018239662582e+01
3.422000000000000000e+03,1.197828993612416681e+01
3.423000000000000000e+03,1.197793214444312859e+01
3.424000000000000000e+03,1.197757685706982222e+01
3.425000000000000000e+03,1.197722412372056233e+01
3.426000000000000000e+03,1.197687399411166354e+01
3.427000000000000000e+03,1.197652651795943868e+01
3.428000000000000000e+03,1.197618174498019528e+01
3.429000000000000000e+03,1.197583972489025683e+01
3.430000000000000000e+03,1.197550050740592553e+01
3.431000000000000000e+03,1.197516414224352310e+01
3.432000000000000000e+03,1.197483067911935883e+01
3.433000000000000000e+03,1.197450016774974380e+01
3.434000000000000000e+03,1.197417265785099438e+01
3.435000000000000000e+03,1.197384819913942522e+01
3.436000000000000000e+03,1.197352684133134382e+01
3.437000000000000000e+03,1.197320863414306658e+01
3.438000000000000000e+03,1.197289362729090989e+01
3.439000000000000000e+03,1.197258187049117950e+01
3.440000000000000000e+03,1.197227341346019358e+01
3.441000000000000000e+03,1.197196830591426320e+01
3.442000000000000000e+03,1.197166659756970297e+01
3.443000000000000000e+03,1.197136833814282575e+01
3.444000000000000000e+03,1.197107357734994260e+01
3.445000000000000000e+03,1.197078236490736813e+01
3.446000000000000000e+03,1.197049475053141521e+01
3.447000000000000000e+03,1.197021078393840021e+01
3.448000000000000000e+03,1.196993051484462889e+01
3.449000000000000000e+03,1.196965399296642296e+01
3.450000000000000000e+03,1.196938126802008995e+01
3.451000000000000000e+03,1.196911238972194269e+01
3.452000000000000000e+03,1.196884740778829759e+01
3.453000000000000000e+03,1.196858637193546571e+01
3.454000000000000000e+03,1.196832933187975812e+01
3.455000000000000000e+03,1.196807633733749121e+01
3.456000000000000000e+03,1.196782743802497961e+01
3.457000000000000000e+03,1.196758268365852906e+01
3.458000000000000000e+03,1.196734212395446306e+01
3.459000000000000000e+03,1.196710580862908380e+01
3.460000000000000000e+03,1.196687378739871299e+01
3.461000000000000000e+03,1.196664610997965994e+01
3.462000000000000000e+03,1.196642282608823926e+01
3.463000000000000000e+03,1.196620398544076025e+01
3.464000000000000000e+03,1.196598963775353930e+01
3.465000000000000000e+03,1.196577983274289103e+01
3.466000000000000000e+03,1.196557462012512474e+01
3.467000000000000000e+03,1.196537404961655682e+01
3.468000000000000000e+03,1.196517817093349656e+01
3.469000000000000000e+03,1.196498703379226214e+01
3.470000000000000000e+03,1.196480068790916285e+01
3.471000000000000000e+03,1.196461918300051153e+01
3.472000000000000000e+03,1.196444256878262280e+01
3.473000000000000000e+03,1.196427089497180773e+01
3.474000000000000000e+03,1.196410421128438628e+01
3.475000000000000000e+03,1.196394256743666240e+01
3.476000000000000000e+03,1.196378601314495427e+01
3.477000000000000000e+03,1.196363459812557473e+01
3.478000000000000000e+03,1.196348837209483484e+01
3.479000000000000000e+03,1.196334738476904924e+01
3.480000000000000000e+03,1.196321168586453076e+01
3.481000000000000000e+03,1.196308132509759403e+01
3.482000000000000000e+03,1.196295635218454834e+01
3.483000000000000000e+03,1.196283681684171007e+01
3.484000000000000000e+03,1.196272276878539031e+01
3.485000000000000000e+03,1.196261425773190545e+01
3.486000000000000000e+03,1.196251133339756301e+01
3.487000000000000000e+03,1.196241404549868115e+01
3.488000000000000000e+03,1.196232244375157094e+01
3.489000000000000000e+03,1.196223657787254524e+01
3.490000000000000000e+03,1.196215649757791866e+01
3.491000000000000000e+03,1.196208225258400049e+01
3.492000000000000000e+03,1.196201389260711068e+01
3.493000000000000000e+03,1.196195146736355674e+01
3.494000000000000000e+03,1.196189502656965331e+01
3.495000000000000000e+03,1.196184461994171144e+01
3.496000000000000000e+03,1.196180029719604576e+01
3.497000000000000000e+03,1.196176210804897266e+01
3.498000000000000000e+03,1.196173010221680144e+01
3.499000000000000000e+03,1.196170432941584671e+01
3.500000000000000000e+03,1.196168483936241955e+01
3.501000000000000000e+03,1.196167168177283457e+01
3.502000000000000000e+03,1.196166490636340640e+01
3.503000000000000000e+03,1.196166456285044610e+01
3.504000000000000000e+03,1.196167070095026652e+01
3.505000000000000000e+03,1.196168337037918050e+01
3.506000000000000000e+03,1.196170262085350444e+01
3.507000000000000000e+03,1.196172850208954586e+01
3.508000000000000000e+03,1.196176106380362469e+01
3.509000000000000000e+03,1.196180035571204847e+01
3.510000000000000000e+03,1.196184642753113359e+01
3.511000000000000000e+03,1.196189932897718933e+01
3.512000000000000000e+03,1.196195910976653387e+01
3.513000000000000000e+03,1.196202581961547651e+01
